/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 147 MHz - Voltage: 1200 mV
Done generating table for seed = 10
Voltage: 1000 - FCMaxFreq: 150 MHz - ClusterMaxFreq: 87 MHz
Set: Cluster Freq: 226 MHz - Voltage: 1000 mV
155,93590,0x744d6831,0x746d6831
155,93590,0x744d6831,0x746d6831
10,6524,0x08da93f9,0x53fa93fa
45,27681,0x45a64f31,0x10c64f31
70,42381,0x3d6ef645,0x088ef645
0,0,0x34e29086,0x00029086
154,93590,0x744d6831,0x746d6831
5,3048,0x6907d20c,0x3427d20c
155,93590,0x744d6831,0x746d6831
155,93590,0x744d6831,0x746d6831
46,28089,0x10d83e52,0x5bf83e53
73,44455,0x732c1eed,0x734c1eed
89,54367,0x0fbf5062,0x5adf5063
0,0,0x34e29086,0x00029086
67,41118,0x27eea2ee,0x730ea2ef
37,22877,0x21c912a7,0x21e912a7
73,44455,0x732c1eed,0x734c1eed
68,41118,0x27eea2ee,0x730ea2ef
33,20002,0x44541921,0x0f741921
18,10990,0x6a221fe6,0x35421fe6
154,93590,0x744d6831,0x746d6831
73,44455,0x732c1eed,0x734c1eed
81,49037,0x3e04b1a3,0x0924b1a3
10,6524,0x08da93f9,0x53fa93fa
5,3048,0x6907d20c,0x3427d20c
37,22877,0x21c912a7,0x21e912a7
152,92151,0x366bbda4,0x018bbda4
154,93590,0x744d6831,0x746d6831
152,92151,0x366bbda4,0x018bbda4
73,44455,0x732c1eed,0x734c1eed
154,93590,0x744d6831,0x746d6831
154,93590,0x744d6831,0x746d6831
20,12414,0x3c72f9bb,0x0792f9bb
155,93590,0x744d6831,0x746d6831
154,93590,0x744d6831,0x746d6831
10,6524,0x08da93f9,0x53fa93fa
40,24379,0x3a4b3377,0x056b3377
73,44227,0x3cb26032,0x07d26032
0,0,0x34e29086,0x00029086
10,6524,0x08da93f9,0x53fa93fa
23,14402,0x01441d7b,0x4c641d7c
41,24859,0x3d128bd3,0x08328bd3
154,93590,0x744d6831,0x746d6831
154,93590,0x744d6831,0x746d6831
73,44455,0x732c1eed,0x734c1eed
65,39458,0x1482336a,0x5fa2336b
73,44455,0x732c1eed,0x734c1eed
152,92151,0x366bbda4,0x018bbda4
79,47928,0x386b0f09,0x038b0f09
154,93590,0x744d6831,0x746d6831
154,93590,0x744d6831,0x746d6831
0,0,0x34e29086,0x00029086
73,44455,0x732c1eed,0x734c1eed
10,6524,0x08da93f9,0x53fa93fa
46,28216,0x343b5040,0x7f5b503f
73,44455,0x732c1eed,0x734c1eed
37,22877,0x21c912a7,0x21e912a7
154,93590,0x744d6831,0x746d6831
79,47928,0x386b0f09,0x038b0f09
154,93590,0x744d6831,0x746d6831
23,14478,0x45fec2b4,0x111ec2b4
57,34760,0x0a1ef8e2,0x553ef8e3
73,44455,0x732c1eed,0x734c1eed
10,6524,0x08da93f9,0x53fa93fa
68,41118,0x27eea2ee,0x730ea2ef
73,44455,0x732c1eed,0x734c1eed
20,12414,0x3c72f9bb,0x0792f9bb
34,20973,0x798903f7,0x198903f8
69,41683,0x57efdd16,0x230fdd16
123,74773,0x46070539,0x46270539
154,93590,0x744d6831,0x746d6831
37,22877,0x21c912a7,0x21e912a7
10,6524,0x08da93f9,0x53fa93fa
37,22877,0x21c912a7,0x21e912a7
37,22877,0x21c912a7,0x21e912a7
154,93590,0x744d6831,0x746d6831
20,12414,0x3c72f9bb,0x0792f9bb
132,80310,0x43071991,0x0e271991
73,44455,0x732c1eed,0x734c1eed
