    CC  test.c
riscv32-unknown-elf-objdump -D /home/diego/workspace/gapuino/gapuino-tests/paper-rand/BUILD/GAP8/GCC_RISCV/test > /home/diego/workspace/gapuino/gapuino-tests/paper-rand/BUILD/GAP8/GCC_RISCV/test.s
/opt/gap_sdk/tools/runner/run_gapuino.sh -v 1


[32m          ,ad8888ba,        db        88888888ba  [0m ad88888ba   
[32m         d8"'    `"8b      d88b       88      "8b[0m d8"     "8b  
[32m        d8'               d8'`8b      88      ,8P[0m Y8a     a8P  
[32m        88               d8'  `8b     88aaaaaa8P' [0m "Y8aaa8P"   
[32m        88      88888   d8YaaaaY8b    88""""""'  [0m  ,d8"""8b,   
[32m        Y8,        88  d8""""""""8b   88       [0m   d8"     "8b  
[32m         Y8a.    .a88 d8'        `8b  88        [0m  Y8a     a8P  
[32m          `"Y88888P" d8'          `8b 88         [0m  "Y88888P"   [0m

---------------------------------GAPUINO------------------------------------

Cable state change connected
Bridge init - log level 0
FC Frequency: 151453 kHz - Voltage: 1200 mV
Done generating 100k items table for seed = 10
set_freq,meas_freq,success,fail,total,voltage,time
224000000,224428032,720522,13,720535,1000,1367
224000000,224657408,2812475,11,2812486,1000,5109
224000000,224690176,478539,15,478554,1000,878
224000000,225017856,1391472,5,1391477,1000,2641
224000000,225312768,2990301,15,2990316,1000,5582
224000000,224657408,353516,24,353540,1000,660
224000000,224428032,248008,18,248026,1000,462
224000000,224559104,1035937,12,1035949,1000,1981
224000000,224690176,606608,10,606618,1000,1133
224000000,224821248,507740,11,507751,1000,967
225000000,225771520,42,58,100,1000,0
225000000,226066432,159402,44,159446,1000,285
225000000,225411072,61,39,100,1000,0
225000000,226066432,100049,50,100099,1000,179
225000000,225902592,49090,47,49137,1000,90
225000000,225607680,188804,40,188844,1000,347
225000000,225542144,17296,51,17347,1000,31
225000000,225902592,128146,42,128188,1000,236
225000000,225935360,39720,27,39747,1000,72
225000000,225771520,100065,34,100099,1000,184
Test finished
commands completed
